"product_id";"name";"product_url";"model";"price";"price_dilar";"specialPrice";"description";"stock_status";"images";"aditional_images";"category";"manufacturer";"weight_class";"length_class";"weight";"length";"width";"height";"seo_keyword";"meta_description";"meta_keyword";"";"date_added"
"valp_946";"Брава за VW Bora 3";"https://portal.rnr75.com/index.php?route=product/product&product_id=946";"BORA";"12";"6.5";"50";"Брава за VW Bora (1J2)<br />
Информация:<br />
<br />
За предна дясна врата<br />
С централно заключване<br />
Електрически<br />
Пинове: 8<br />
OEM:<br />
<br />
VAG: 3B1 837 016A<br />
VAG: 3B1 837 016AC<br />
VAG: 6X1 837 016Q";"в наличност";"https://media.rnr75.com/productImages/Butoni/KU718%201.jpg";"https://media.rnr75.com/productImages/Butoni/KU718%203.jpg,https://media.rnr75.com/productImages/Butoni/X0120.jpg,https://media.rnr75.com/productImages/Butoni/X0120.jpg";"ИНТЕРИОР > БУТОН ЗА ЕЛ. ОГЛЕДАЛО";"VOLKSWAGEN";"бр.";"бр.";"0.7";"11";"33";"2333";"Брава-за-vw-bora-3";"Брава за VW Bora (1J2)<br />
Информация:<br />
<br />
За предна дясна врата<br />
С централно заключване<br />
Електрически<br />
Пинове: 8<br />
OEM:<br />
<br />
VAG: 3B1 837 016A<br />
VAG: 3B1 837 016AC<br />
VAG: 6X1 837 016Q";"брава, информация, предна, дясна, врата, централно, заключване, електрически, пинове, 016ac";"";"17-09-2024 15:45"
"valp_947";"Външна дръжка за врата на Lancia Ypsilon 843";"https://portal.rnr75.com/index.php?route=product/product&product_id=947";"";"4.8";"2.6";"";"Външна дръжка за врата на Lancia Ypsilon 843 (2003-2011)<br />
OEM: 41.2203 / 412203 / 735350098 / 735409026 / 735434134 / MA0311S / 735409026 / AL80524 / LT80524 / 80/524 / 394949<br />
Монтажна позиция: предна лява врата<br />
Цвят: Хром<br />
Материал: Пластмаса<br />
Хромирано покритие<br />
Заключваща система: без ключ";"в наличност";"https://media.rnr75.com/productImages/Patronizi/DH0351-1.jpg";"";"ИНТЕРИОР > ДРЪЖКИ";"LANCIA";"бр.";"бр.";"0.2";"";"";"";"Външна-дръжка-за-врата-на";"Външна дръжка за врата на Lancia Ypsilon 843 (2003-2011)<br />
OEM: 41.2203 / 412203 / 735350098 / 735409026 / 735434134 / MA0311S / 735409026 / AL80524 / LT80524 / 80/524 / 394949<br />
Монтажна позиция: предна лява врата<br />
Цвят: Хром<br />
Материал: Пластмаса<br />
Хромирано покритие<br />
Заключваща система: без ключ";"врата, 735409026, външна, дръжка, lancia, ypsilon, 412203, 735350098, 735434134, ma0311s";"";"17-09-2024 15:45"
"valp_948";"Брава за BMW 1 F20";"https://portal.rnr75.com/index.php?route=product/product&product_id=948";"СЕРИЯ 1 F20/F21/F52";"4.8";"2.6";"";"Брава за BMW 1 F20 F21 за предна дясна врата<br />
С функции: Аларма и против кражба<br />
Пинове: 5<br />
OEM: 51217202146";"в наличност";"https://media.rnr75.com/productImages/Svetlini/Bravi/B0162-1-.jpg";"";"";"BMW";"бр.";"бр.";"";"";"";"";"Брава-за-bmw-1-f20";"Брава за BMW 1 F20 F21 за предна дясна врата<br />
С функции: Аларма и против кражба<br />
Пинове: 5<br />
OEM: 51217202146";"брава, предна, дясна, врата, функции, аларма, против, кражба, пинове, 51217202146";"";"17-09-2024 15:45"
"valp_949";"Копчета за волан на BMW X4 G02";"https://portal.rnr75.com/index.php?route=product/product&product_id=949";"СЕРИЯ X4 G02";"4.8";"2.6";"";"Копчета (ролкови) за волан на BMW X4 G02 (2018+)<br />
Комплект: Ляво и Дясно<br />
OEM : 61317942419<br />
Цвят: Сив";"в наличност";"https://media.rnr75.com/productImages/Butoni/X0120.jpg";"";"ИНТЕРИОР > БУТОНИ И КАПАЧЕТА ЗА ВОЛАН";"BMW";"бр.";"бр.";"0.1";"";"";"";"Копчета-за-волан-на-bmw";"Копчета (ролкови) за волан на BMW X4 G02 (2018+)<br />
Комплект: Ляво и Дясно<br />
OEM : 61317942419<br />
Цвят: Сив";"копчета, ролкови, волан, комплект, ляво, дясно, 61317942419, цвят, сив";"";"17-09-2024 15:45"
"valp_950";"Бутони за еллектрически стъкла за Renault Espace 4";"https://portal.rnr75.com/index.php?route=product/product&product_id=950";"ESPACE 4";"4.8";"2.6";"";"Бутони за ел. стъкла за Renault Espace 4<br />
OEM:<br />
8200315042<br />
8200015088<br />
Пинове: 10";"в наличност";"https://media.rnr75.com/productImages/Butoni/KU718%201.jpg";"";"ИНТЕРИОР > БУТОН ЗА ЕЛ. СТЪКЛО";"RENAULT";"бр.";"бр.";"0.7";"";"";"";"Бутони-за-еллектрически-стъкла-за";"Бутони за ел. стъкла за Renault Espace 4<br />
OEM:<br />
8200315042<br />
8200015088<br />
Пинове: 10";"бутони, стъкла, renault, espace, 8200315042, 8200015088, пинове";"";"17-09-2024 15:45"
"valp_951";"Лампичка за регистрационен номер за VW Transporter";"https://portal.rnr75.com/index.php?route=product/product&product_id=951";"TRANSPORTER T3";"4.8";"2.6";"";"Лампичка за регистрационен номер за VW Transporter<br />
OEM: 3B5943021E";"в наличност";"https://media.rnr75.com/productImages/Svetlini/S9725-.jpg";"";"ЕКСТЕРИОР > ЛАМПИ И ПАНЕЛИ ЗА ОСВЕТЛЕНИЕ НА РЕГИСТРАЦИОНЕН НОМ";"VOLKSWAGEN";"бр.";"бр.";"";"";"";"";"Лампичка-за-регистрационен-номер-за";"Лампичка за регистрационен номер за VW Transporter<br />
OEM: 3B5943021E";"лампичка, регистрационен, номер, transporter, 3b5943021e";"";"17-09-2024 15:45"
"valp_952";"Брава за Ford Focus MK3";"https://portal.rnr75.com/index.php?route=product/product&product_id=952";"FOCUS MK3";"96";"52";"";"<br />
Брава за Ford C-max (2007-2010)<br />
<br />
За предна лява врата<br />
<br />
ОЕМ: 3M5AR21813MT / 4892459 / 610277A2 / 610277A2<br />
<br />
3100772 / 31772 / 461860610";"в наличност";"https://media.rnr75.com/productImages/Svetlini/Bravi/Bravi_FORD/B0341_3.jpg";"";"ИНТЕРИОР > БРАВИ";"FORD";"бр.";"бр.";"0.2";"";"";"";"Брава-за-ford-focus-mk3";"<br />
Брава за Ford C-max (2007-2010)<br />
<br />
За предна лява врата<br />
<br />
ОЕМ: 3M5AR21813MT / 4892459 / 610277A2 / 610277A2<br />
<br />
3100772 / 31772 / 461860610";"610277a2, брава, предна, лява, врата, оем, 3m5ar21813mt, 4892459, 3100772, 31772";"";"17-09-2024 15:45"
"valp_956";"TMS Модул за светлини на BMW 5 F10";"https://portal.rnr75.com/index.php?route=product/product&product_id=956";"СЕРИЯ 5 F10/F11/F18/F07";"5.28";"2.6";"";"<br />
TMS Модул за светлини на BMW 5 F10<br />
BMW 5 Series F10 Pre-Facelift 2010, 2011, 2012, 2013<br />
BMW 5 Series F11 Pre-Facelift 2010, 2011, 2012, 2013<br />
BMW 5 Series F07 GT Gran Turismo Pre-Facelift 2008, 2009, 2010, 2011, 2012, 2013<br />
Пинове: 28 (6+7+15)";"в наличност";"https://media.rnr75.com/productImages/Svetlini/Svetlini_BMW/KU35012-1.jpg";"https://media.rnr75.com/productImages/Butoni/KU718%203.jpg,https://media.rnr75.com/productImages/Butoni/X0120.jpg,https://media.rnr75.com/productImages/Butoni/X0120.jpg,https://media.rnr75.com/productImages/Svetlini/Svetlini_BMW/KU35012-3.jpg,https://media.rnr75.com/productImages/Svetlini/Svetlini_BMW/KU35012-4.jpg";"ЕКСТЕРИОР > МОДУЛИ ЗА СВЕТЛИНИ";"BMW";"бр.";"бр.";"0.15";"";"";"";"tms-Модул-за-светлини-на";"<br />
TMS Модул за светлини на BMW 5 F10<br />
BMW 5 Series F10 Pre-Facelift 2010, 2011, 2012, 2013<br />
BMW 5 Series F11 Pre-Facelift 2010, 2011, 2012, 2013<br />
BMW 5 Series F07 GT Gran Turismo Pre-Facelift 2008, 2009, 2010, 2011, 2012, 2013<br />
Пинове: 28 (6+7+15)";"series, facelift, модул, светлини, turismo, пинове";"";"17-09-2024 15:45"
"valp_5551";"Комплект ключалки за всички врати , преден капак , запалване и резервоар за Ford Transit MK6 and MK7";"https://portal.rnr75.com/index.php?route=product/product&product_id=5551";"TRANSIT MK6";"4.8";"3.2";"";"Комплект ключалки за всички врати , преден капак , запалване и резервоар за Ford Transit MK6   MK7 (2000-2006)<br />
Комплектът съдържа : <br />
<br />
- Комплект за запалване<br />
<br />
- Патронници за всички врати (предна лява , предна дясна и странична (плъзгаща) врата) и багажник<br />
<br />
- Патронник за резервоар<br />
<br />
- Патронник за преден капак<br />
<br />
- 2 ключа<br />
<br />
OEM : 1C1AV22050BA";"в наличност";"https://media.rnr75.com/productImages/Patronizi/PL0708-0.jpg";"";"РЕМОНТНИ КОМПЛЕКТИ > ЗАКЛЮЧВАЩА СИСТЕМА";"FORD";"бр.";"бр.";"";"11";"2";"33";"Комплект-ключалки-за-всички-врати";"Комплект ключалки за всички врати , преден капак , запалване и резервоар за Ford Transit MK6   MK7 (2000-2006)<br />
Комплектът съдържа : <br />
<br />
- Комплект за запалване<br />
<br />
- Патронници за всички врати (предна лява , предна дясна и странична (плъзгаща) врата) и багажник<br />
<br />
- Патронник за резервоар<br />
<br />
- Патронник за преден капак<br />
<br />
- 2 ключа<br />
<br />
OEM : 1C1AV22050BA";"комплект, всички, врати, преден, капак, запалване, резервоар, предна, патронник, ключалки";"";"17-09-2024 15:45"
"valp_7835";"Десен стоп за Mercedes Sprinter W906";"https://portal.rnr75.com/index.php?route=product/product&product_id=7835";"SPRINTER W906";"26.4";"13";"";"Десен стоп за Mercedes Sprinter W906 (2006-2014)<br />
<br />
OEM - 043715 / 9068200264 / A9068200264 / M610956<br />
<br />
Без Крушки , Без Платка, С Държачи за Крушки";"в наличност";"https://media.rnr75.com/productImages/Svetlini/FL0001R-1.jpg";"";"ЕКСТЕРИОР > ФАСУНГИ ЗА ОСВЕТЛЕНИЕ НА РЕГИСТРАЦИОНЕН НОМЕР";"MERCEDES";"бр.";"бр.";"1.3";"";"";"";"Десен-стоп-за-mercedes-sprinter";"Десен стоп за Mercedes Sprinter W906 (2006-2014)<br />
<br />
OEM - 043715 / 9068200264 / A9068200264 / M610956<br />
<br />
Без Крушки , Без Платка, С Държачи за Крушки";"без, крушки, десен, стоп, mercedes, sprinter, 043715, 9068200264, a9068200264, m610956";"";"28-07-2025 14:16"
"valp_7845";"Амортисьор за багажник на Jeep Compass";"https://portal.rnr75.com/index.php?route=product/product&product_id=7845";"COMPASS";"18.48";"9.1";"";"Амортисьор за багажник на Jeep Compass (2007-2016)<br />
Страна на монтаж : задна лява и дясна страна<br />
<br />
Дължина : 527 мм<br />
<br />
Ход на буталото : 163 мм<br />
<br />
Изтласкваща сила: 535 Нютон<br />
<br />
OEM : 5109514AB";"в наличност";"https://media.rnr75.com/productImages/Amortisori/Amortisiori_JEEP/PL0736-0.jpg";"";"ЕКСТЕРИОР > АМОРТИСЬОРИ";"JEEP";"бр.";"бр.";"0.5";"";"";"";"Амортисьор-за-багажник-на-jeep";"Амортисьор за багажник на Jeep Compass (2007-2016)<br />
Страна на монтаж : задна лява и дясна страна<br />
<br />
Дължина : 527 мм<br />
<br />
Ход на буталото : 163 мм<br />
<br />
Изтласкваща сила: 535 Нютон<br />
<br />
OEM : 5109514AB";"страна, амортисьор, багажник, compass, монтаж, задна, лява, дясна, дължина, ход";"";"30-07-2025 13:15"
"valp_7893";"Баласт модул за ксенон на Ford Focus";"https://portal.rnr75.com/index.php?route=product/product&product_id=7893";"FOCUS MK1";"5.28";"2.6";"";"<br />
Баласт модул за ксенон на Ford Focus (1998-2004)<br />
Напрежение : 12 V<br />
<br />
OEM : 3U0941641 / 4E0907476 / 63120150614 / 63126907488 / 63126916100 / 6907488 / 24406569 / 24417111 / 6235149 / 1211623 / 2M5112K072AA / 2M5Z13C170AA / C2S15079 / C2S52482 / YWC500430 / 0028202326 / 002820232664 / 28202326 / 2820232664 / A0028202326 / A002820232664 / 28474JD00B / 024406569 / 024417111 / 06235149 / 7701207033 / 7701207830 / XCA000010 / 12790592 / 1279592 / 5DV008290";"в наличност";"https://media.rnr75.com/productImages/Svetlini/Svetlini_Ford/PL0652-0.jpg";"";"ЕКСТЕРИОР > МОДУЛИ ЗА СВЕТЛИНИ";"FORD";"бр.";"бр.";"0.2";"";"";"";"Баласт-модул-за-ксенон-на";"<br />
Баласт модул за ксенон на Ford Focus (1998-2004)<br />
Напрежение : 12 V<br />
<br />
OEM : 3U0941641 / 4E0907476 / 63120150614 / 63126907488 / 63126916100 / 6907488 / 24406569 / 24417111 / 6235149 / 1211623 / 2M5112K072AA / 2M5Z13C170AA / C2S15079 / C2S52482 / YWC500430 / 0028202326 / 002820232664 / 28202326 / 2820232664 / A0028202326 / A002820232664 / 28474JD00B / 024406569 / 024417111 / 06235149 / 7701207033 / 7701207830 / XCA000010 / 12790592 / 1279592 / 5DV008290";"баласт, модул, ксенон, focus, напрежение, 3u0941641, 4e0907476, 63120150614, 63126907488, 63126916100";"";"17-09-2024 15:45"
"valp_7894";"Баласт модул за ксенон на Ford Focus C-Max";"https://portal.rnr75.com/index.php?route=product/product&product_id=7894";"C-MAX";"5.28";"2.6";"";"<br />
Баласт модул за ксенон на Ford Focus C-Max (2003-2007)<br />
Напрежение : 12 V<br />
<br />
OEM : 3U0941641 / 4E0907476 / 63120150614 / 63126907488 / 63126916100 / 6907488 / 24406569 / 24417111 / 6235149 / 1211623 / 2M5112K072AA / 2M5Z13C170AA / C2S15079 / C2S52482 / YWC500430 / 0028202326 / 002820232664 / 28202326 / 2820232664 / A0028202326 / A002820232664 / 28474JD00B / 024406569 / 024417111 / 06235149 / 7701207033 / 7701207830 / XCA000010 / 12790592 / 1279592 / 5DV008290<br />
<br />
 ";"в наличност";"https://media.rnr75.com/productImages/Svetlini/Svetlini_Ford/PL0652-0.jpg";"";"ЕКСТЕРИОР > МОДУЛИ ЗА СВЕТЛИНИ";"FORD";"бр.";"бр.";"0.2";"";"";"";"Баласт-модул-за-ксенон-на";"<br />
Баласт модул за ксенон на Ford Focus C-Max (2003-2007)<br />
Напрежение : 12 V<br />
<br />
OEM : 3U0941641 / 4E0907476 / 63120150614 / 63126907488 / 63126916100 / 6907488 / 24406569 / 24417111 / 6235149 / 1211623 / 2M5112K072AA / 2M5Z13C170AA / C2S15079 / C2S52482 / YWC500430 / 0028202326 / 002820232664 / 28202326 / 2820232664 / A0028202326 / A002820232664 / 28474JD00B / 024406569 / 024417111 / 06235149 / 7701207033 / 7701207830 / XCA000010 / 12790592 / 1279592 / 5DV008290<br />
<br />
 ";"баласт, модул, ксенон, focus, напрежение, 3u0941641, 4e0907476, 63120150614, 63126907488, 63126916100";"";"17-09-2024 15:45"
"valp_7895";"Електромотор за ръчна спирачка на BMW 5 F10 / F18";"https://portal.rnr75.com/index.php?route=product/product&product_id=7895";"СЕРИЯ 5 F10/F11/F18/F07";"5.28";"2.6";"";"Електромотор за ръчна спирачка на BMW 5 F10 / F18 (2010-2017)<br />
Резервна част за OEM:<br />
34436850289<br />
2214302949<br />
 ";"в наличност";"https://media.rnr75.com/productImages/Motori_za_rachni_spirachki/IZ244-1.jpg";"";"ЕКСТЕРИОР > МОТОРИ ЗА РЪЧНИ СПИРАЧКИ";"BMW";"бр.";"бр.";"0.2";"";"";"";"Електромотор-за-ръчна-спирачка-на";"Електромотор за ръчна спирачка на BMW 5 F10 / F18 (2010-2017)<br />
Резервна част за OEM:<br />
34436850289<br />
2214302949<br />
 ";"електромотор, ръчна, спирачка, резервна, част, 34436850289, 2214302949";"";"17-09-2024 15:45"
"valp_7897";"Стъкла за фарове на BMW 1 Facelift E87";"https://portal.rnr75.com/index.php?route=product/product&product_id=7897";"СЕРИЯ 1 E81/E82/E87/E88";"5.28";"2.6";"";"Електромотор за ръчна спирачка на BMW 5 F10 / F18 (2010-2017)<br />
Резервна част за OEM:<br />
34436850289<br />
2214302949<br />
 ";"в наличност";"https://media.rnr75.com/productImages/Motori_za_rachni_spirachki/IZ244-1.jpg";"";"ЕКСТЕРИОР > МОТОРИ ЗА РЪЧНИ СПИРАЧКИ";"BMW";"бр.";"бр.";"0.2";"";"";"";"Стъкла-за-фарове-на-bmw";"Електромотор за ръчна спирачка на BMW 5 F10 / F18 (2010-2017)<br />
Резервна част за OEM:<br />
34436850289<br />
2214302949<br />
 ";"електромотор, ръчна, спирачка, резервна, част, 34436850289, 2214302949";"";"17-09-2024 15:45"
